Name,Age,Salary,City
A,59.0,28965.0,Surat
B,49.0,42538.0,Ahd
C,,126066.0,Ahd
D,28.0,131252.0,Surat
E,41.0,116806.0,Ahd
F,59.0,,Surat
G,39.0,108982.0,Ahd
H,43.0,139626.0,Ahd
I,31.0,137176.0,Rajkot
J,,149278.0,Rajkot
K,,140409.0,Ahd
L,56.0,41419.0,Ahd
M,44.0,68015.0,Rajkot
N,23.0,,Rajkot
O,42.0,,Rajkot
P,22.0,128687.0,Surat
Q,44.0,105939.0,Ahd
R,50.0,123878.0,Rajkot
S,58.0,80623.0,Ahd
T,22.0,93450.0,Surat
U,41.0,111426.0,Surat
V,53.0,135845.0,Rajkot
W,32.0,61585.0,Surat
X,42.0,127225.0,Ahd
Y,45.0,82044.0,Rajkot
Z,47.0,127556.0,Ahd
A,48.0,20693.0,Ahd
B,36.0,113259.0,Surat
C,35.0,43939.0,Surat
D,23.0,36047.0,Surat
E,57.0,44105.0,Surat
F,27.0,93766.0,Surat
G,41.0,62262.0,Rajkot
H,,143117.0,Ahd
I,59.0,41776.0,Ahd
J,38.0,146376.0,Ahd
K,24.0,110787.0,Ahd
L,45.0,,Surat
M,34.0,73016.0,Ahd
N,29.0,39959.0,Rajkot
O,,137101.0,Rajkot
P,22.0,21748.0,Ahd
Q,40.0,31545.0,Ahd
R,48.0,145659.0,Rajkot
S,27.0,91530.0,Rajkot
T,28.0,111557.0,Surat
U,55.0,79087.0,Rajkot
V,34.0,86840.0,Surat
W,37.0,136451.0,Surat
X,56.0,69005.0,Surat
Y,24.0,57353.0,Surat
Z,22.0,70733.0,Surat
A,26.0,83318.0,Ahd
B,24.0,85172.0,Rajkot
C,49.0,111264.0,Surat
D,38.0,44736.0,Rajkot
E,46.0,,Rajkot
F,54.0,130181.0,Surat
G,30.0,149926.0,Ahd
H,56.0,108084.0,Surat
I,34.0,25392.0,Ahd
J,51.0,73680.0,Rajkot
K,35.0,,Ahd
L,28.0,,Ahd
M,34.0,88467.0,Ahd
N,43.0,116506.0,Rajkot
O,,127751.0,Rajkot
P,36.0,136906.0,Ahd
Q,38.0,43342.0,Ahd
R,44.0,124308.0,Surat
S,46.0,,Ahd
T,45.0,107045.0,Surat
U,,52698.0,Ahd
V,35.0,128078.0,Surat
W,21.0,98623.0,Rajkot
X,45.0,40671.0,Ahd
Y,27.0,111384.0,Ahd
Z,,104202.0,Ahd
A,44.0,,Ahd
B,21.0,33708.0,Surat
C,28.0,109906.0,Ahd
D,44.0,67811.0,Rajkot
E,31.0,74250.0,Rajkot
F,,130547.0,Ahd
G,28.0,142249.0,Rajkot
H,55.0,52754.0,Ahd
I,55.0,102896.0,Ahd
J,53.0,89295.0,Rajkot
K,25.0,118689.0,Ahd
L,59.0,29111.0,Rajkot
M,48.0,55504.0,Surat
N,27.0,26155.0,Ahd
O,29.0,57384.0,Surat
P,28.0,130561.0,Rajkot
Q,,65254.0,Surat
R,54.0,,Surat
S,53.0,103981.0,Rajkot
T,43.0,48306.0,Surat
U,44.0,64843.0,Surat
V,57.0,138975.0,Rajkot
